title,description,pub_date,scraped_at
Scrapping of Franco-German fighter jet leaves allies at odds on defence future,The flagship partnership project became a glaring example of discord between the two nations.,"Tue, 09 Jun 2026 14:54:36 GMT",2026-06-09T17:25:44.188838
I thought I'd got my dream flat - so did 23 others,Student Mide Awosika pays thousands for a flat rental deposit - and discovers many others also did.,"Tue, 09 Jun 2026 05:11:38 GMT",2026-06-09T17:25:44.188846
A poem I wrote about my son appeared on his exam paper,"Emily Cullen says she couldn't believe it when her son told her about the poem, which she had written seven years earlier.","Tue, 09 Jun 2026 05:27:44 GMT",2026-06-09T17:25:44.188855
Why super-sized and politicised World Cup comes at a cost,"Whatever one's perspective, it seems certain that away from the on-field spectacle, this super-sized World Cup could be among the most contentious ever.","Tue, 09 Jun 2026 05:57:24 GMT",2026-06-09T17:25:44.188861
Play BBC Sport's new predictor game,Play BBC Sport's new World Cup predictor game to be in with the chance of winning a signed football.,"Tue, 09 Jun 2026 08:24:41 GMT",2026-06-09T17:25:44.188868
Twenty new players to look out for,BBC Sport TV and radio commentators pick the players they think could be the breakout stars.,"Tue, 09 Jun 2026 06:42:53 GMT",2026-06-09T17:25:44.188874
"World Cup tickets for Iran fans revoked, the country's football body says",Iran's football federation says its allocation of tickets for the group stage of the World Cup has been revoked just days before the tournament.,"Tue, 09 Jun 2026 10:15:49 GMT",2026-06-09T17:25:44.188882
"'A prisoner in my home': Drug gangs 'cuckooing' hundreds of homes a week, police warn","Hundreds if not thousands of people's homes are being taken over by UK gangs every week, say police.","Mon, 08 Jun 2026 23:01:50 GMT",2026-06-09T17:25:44.188891
Iranian group could be labelled national threat under proposed new law,The government is introducing the National Security (State Threats) Bill which could become law within weeks.,"Tue, 09 Jun 2026 15:28:59 GMT",2026-06-09T17:25:44.188898
Hidden camera found in government building,"The complex is shared by the Ministry of Housing, Communities & Local Government and the Home Office.","Tue, 09 Jun 2026 15:35:05 GMT",2026-06-09T17:25:44.188905
300 migrants bound for UK kidnapped and threatened with kidney removal,"The Iraqi Kurds were captured by a militia who demanded a ransom of $5,000 (3,700) per person.","Tue, 09 Jun 2026 05:00:06 GMT",2026-06-09T17:25:44.188911
Man who murdered partner and blew up home jailed,Clifton George stabbed Annabel Rook 31 times before starting a fire at their house in north London.,"Tue, 09 Jun 2026 13:47:15 GMT",2026-06-09T17:25:44.188917
Two reportedly killed as women take part in rare protest in Afghanistan,"The demonstration, in the western city of Herat, was broken up after police are alleged to have opened fire.","Tue, 09 Jun 2026 16:44:23 GMT",2026-06-09T17:25:44.188926
Construction on fire site by Glasgow Central Station might not start for several years,Glasgow City Council leader Susan Aitken says the planning and consultation process regarding the land is likely to last until about 2030.,"Tue, 09 Jun 2026 15:45:36 GMT",2026-06-09T17:25:44.188935
BBC News app,"Top stories, breaking news, live reporting, and follow news topics that match your interests","Wed, 30 Apr 2025 14:04:28 GMT",2026-06-09T17:25:44.188946
Jess Phillips On The Explicit Image Ban For Children,Starmer has told tech firms to block naked images on phones for children.,"Mon, 08 Jun 2026 19:20:00 GMT",2026-06-09T17:25:44.188956
Americanswers on 5 Live! Why did Trump walk out of his TV interview with Meet The Press?,And why is JD Vance posting about Henry Nowak?,"Mon, 08 Jun 2026 19:48:00 GMT",2026-06-09T17:25:44.188968
Stokes and alcohol give England another headache,"After an Ashes tour dogged by drinking controversies, is an incident in a London nightclub enough to cost Ben Stokes the England captaincy?","Tue, 09 Jun 2026 13:16:57 GMT",2026-06-09T17:25:44.188977
Risk of death to oldest man at World Cup - walking miracle Gordon,How Craig Gordon's career has been a series of comebacks and the 43-year-old's World Cup inclusion for Scotland seemed an impossible dream only a few months ago.,"Tue, 09 Jun 2026 15:10:56 GMT",2026-06-09T17:25:44.188987
